xflr5 v6.49

 Calculated polar for: Aerofoil1309

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.103 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.2223, 0.01873, 0.00965,-0.1092,0.7987,0.0617,-1.9759, 0.0000, 0.7440
 -1.000, 0.3840, 0.01643, 0.00679,-0.1191,0.7627,0.1034,-1.2430, 0.0000, 0.5605
  0.000, 0.5267, 0.01570, 0.00603,-0.1255,0.7320,0.1909,-0.6896, 0.0000, 0.4875
  1.000, 0.6541, 0.01496, 0.00628,-0.1291,0.7038,0.5576,-0.7670, 0.0000, 0.4455
  3.000, 0.9219, 0.01640, 0.00762,-0.1380,0.6545,1.0000,-1.1113, 0.0000, 0.3957
  4.000, 1.0041, 0.01741, 0.00876,-0.1316,0.6278,1.0000,-1.3397, 0.0000, 0.3760
  5.000, 1.0754, 0.01777, 0.00900,-0.1218,0.5747,1.0000,-1.5901, 0.0000, 0.3570
  6.000, 1.1312, 0.01841, 0.00986,-0.1095,0.5266,1.0000,-1.8445, 0.0000, 0.3394
  7.000, 1.1772, 0.01918, 0.01076,-0.0955,0.4568,1.0000,-2.2335, 0.0000, 0.3225
  8.000, 1.1898, 0.02132, 0.01228,-0.0765,0.3044,1.0000,-2.5905, 0.0000, 0.3044
  9.000, 1.1859, 0.02561, 0.01599,-0.0582,0.1929,1.0000,-2.8969, 0.0000, 0.2879
 10.000, 1.1959, 0.03022, 0.02059,-0.0448,0.1473,1.0000,-3.2594, 0.0000, 0.2748
 11.000, 1.2138, 0.03534, 0.02590,-0.0350,0.1193,1.0000,-3.6674, 0.0000, 0.2646
 12.000, 1.2323, 0.04129, 0.03208,-0.0276,0.0967,1.0000,-4.0830, 0.0000, 0.2565
 13.000, 1.2457, 0.04833, 0.03937,-0.0221,0.0774,1.0000,-4.4794, 0.0000, 0.2502
 14.000, 1.2558, 0.05649, 0.04790,-0.0182,0.0621,1.0000,-4.8450, 0.0000, 0.2451
 15.000, 1.2579, 0.06633, 0.05820,-0.0160,0.0504,1.0000,-5.1805, 0.0000, 0.2414


