xflr5 v6.49

 Calculated polar for: Aerofoil1753

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.3942, 0.01480, 0.00571,-0.1402,0.7203,0.0763,-1.4341, 0.0000, 0.6076
 -1.000, 0.4985, 0.01409, 0.00487,-0.1387,0.6955,0.1256,-0.8804, 0.0000, 0.5287
  0.000, 0.6029, 0.01376, 0.00468,-0.1375,0.6753,0.2152,-0.8131, 0.0000, 0.4772
  2.000, 0.8199, 0.01300, 0.00515,-0.1363,0.6366,1.0000,-0.9568, 0.0000, 0.4133
  3.000, 0.9245, 0.01373, 0.00567,-0.1349,0.6186,1.0000,-1.0357, 0.0000, 0.3920
  4.000, 1.0215, 0.01460, 0.00673,-0.1323,0.6012,1.0000,-1.1639, 0.0000, 0.3745
  5.000, 1.1239, 0.01544, 0.00770,-0.1305,0.5818,1.0000,-1.5898, 0.0000, 0.3600
  6.000, 1.2114, 0.01586, 0.00835,-0.1253,0.5412,1.0000,-2.3414, 0.0000, 0.3461
  7.000, 1.2642, 0.01651, 0.00883,-0.1133,0.4165,1.0000,-2.9914, 0.0000, 0.3309
  8.000, 1.2285, 0.02132, 0.01215,-0.0884,0.1790,1.0000,-3.2517, 0.0000, 0.3121
  9.000, 1.1909, 0.02874, 0.01855,-0.0699,0.0235,1.0000,-3.4524, 0.0000, 0.2974
 10.000, 1.2089, 0.03470, 0.02494,-0.0614,0.0177,1.0000,-3.9123, 0.0000, 0.2880
 11.000, 1.2177, 0.04262, 0.03338,-0.0549,0.0160,1.0000,-4.3282, 0.0000, 0.2807
 12.000, 1.2256, 0.05181, 0.04305,-0.0506,0.0147,1.0000,-4.7311, 0.0000, 0.2753
 13.000, 1.2404, 0.06149, 0.05313,-0.0480,0.0135,1.0000,-5.1687, 0.0000, 0.2710
 14.000, 1.2765, 0.07007, 0.06206,-0.0459,0.0129,1.0000,-5.6869, 0.0000, 0.2664
 15.000, 1.3181, 0.07958, 0.07215,-0.0446,0.0126,1.0000,-6.1917, 0.0000, 0.2624


