xflr5 v6.49

 Calculated polar for: Aerofoil1571

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1681, 0.01812, 0.01002,-0.1010,0.8174,0.0452,-2.3119, 0.0000, 0.8543
 -1.000, 0.3207, 0.01538, 0.00677,-0.1084,0.7864,0.0728,-1.5290, 0.0000, 0.5882
  0.000, 0.4743, 0.01408, 0.00532,-0.1168,0.7529,0.1349,-0.8358, 0.0000, 0.4951
  1.000, 0.6017, 0.01364, 0.00501,-0.1201,0.7158,0.2610,-0.7529, 0.0000, 0.4474
  2.000, 0.7956, 0.01310, 0.00560,-0.1383,0.6824,1.0000,-0.9297, 0.0000, 0.4205
  3.000, 0.8945, 0.01379, 0.00597,-0.1354,0.6472,1.0000,-1.0859, 0.0000, 0.3970
  4.000, 0.9707, 0.01446, 0.00646,-0.1276,0.6006,1.0000,-1.2457, 0.0000, 0.3759
  5.000, 1.0465, 0.01522, 0.00716,-0.1199,0.5580,1.0000,-1.4270, 0.0000, 0.3579
  6.000, 1.1169, 0.01609, 0.00799,-0.1113,0.5107,1.0000,-1.6241, 0.0000, 0.3418
  7.000, 1.1749, 0.01718, 0.00913,-0.1006,0.4476,1.0000,-1.8235, 0.0000, 0.3265
  8.000, 1.2125, 0.01903, 0.01074,-0.0868,0.3565,1.0000,-2.2236, 0.0000, 0.3111
  9.000, 1.2393, 0.02187, 0.01332,-0.0726,0.2705,1.0000,-2.6924, 0.0000, 0.2967
 10.000, 1.2670, 0.02526, 0.01669,-0.0602,0.2137,1.0000,-3.1878, 0.0000, 0.2842
 11.000, 1.2896, 0.02942, 0.02090,-0.0492,0.1656,1.0000,-3.7109, 0.0000, 0.2732
 12.000, 1.3089, 0.03451, 0.02612,-0.0399,0.1298,1.0000,-4.2250, 0.0000, 0.2639
 13.000, 1.3217, 0.04103, 0.03275,-0.0327,0.0806,1.0000,-4.6923, 0.0000, 0.2563
 14.000, 1.3041, 0.05137, 0.04292,-0.0265,0.0291,1.0000,-4.9662, 0.0000, 0.2500
 15.000, 1.2877, 0.06292, 0.05493,-0.0232,0.0222,1.0000,-5.2240, 0.0000, 0.2458


