xflr5 v6.49

 Calculated polar for: NACA 4919

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.147 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.1173, 0.02050, 0.01295,-0.1252,0.8433,0.4019,-0.9167, 0.0000, 1.3314
 -1.000, 0.2778, 0.01911, 0.01165,-0.1344,0.8107,0.4598,-0.6996, 0.0000, 0.7339
  0.000, 0.4501, 0.01775, 0.01035,-0.1456,0.7645,0.5204,-0.8185, 0.0000, 0.5701
  1.000, 0.6105, 0.01731, 0.00975,-0.1548,0.7022,0.5764,-0.9642, 0.0000, 0.4984
  2.000, 0.7329, 0.01772, 0.01000,-0.1559,0.6360,0.6246,-1.1071, 0.0000, 0.4561
  3.000, 0.8301, 0.01858, 0.01082,-0.1520,0.5740,0.6676,-1.2544, 0.0000, 0.4251
  4.000, 0.9194, 0.01970, 0.01178,-0.1467,0.5163,0.7063,-1.4205, 0.0000, 0.4001
  5.000, 1.0037, 0.02102, 0.01305,-0.1407,0.4610,0.7419,-1.6131, 0.0000, 0.3794
  6.000, 1.0613, 0.02254, 0.01450,-0.1290,0.4106,0.7693,-1.8026, 0.0000, 0.3594
  7.000, 1.1233, 0.02429, 0.01623,-0.1191,0.3628,0.7943,-2.0224, 0.0000, 0.3425
  8.000, 1.1919, 0.02645, 0.01836,-0.1117,0.3144,0.8196,-2.2774, 0.0000, 0.3287
  9.000, 1.2373, 0.02898, 0.02088,-0.1003,0.2718,0.8417,-2.5234, 0.0000, 0.3145
 11.000, 1.3213, 0.03612, 0.02814,-0.0812,0.1995,0.8805,-3.0499, 0.0000, 0.2916
 12.000, 1.3567, 0.04137, 0.03355,-0.0739,0.1705,0.8967,-3.3274, 0.0000, 0.2828
 13.000, 1.3763, 0.04773, 0.04008,-0.0664,0.1476,0.9113,-3.5743, 0.0000, 0.2747
 14.000, 1.3885, 0.05593, 0.04846,-0.0613,0.1286,0.9241,-3.8067, 0.0000, 0.2685
 15.000, 1.4003, 0.06563, 0.05851,-0.0591,0.1135,0.9337,-4.0459, 0.0000, 0.2644


