xflr5 v6.49

 Calculated polar for: NACA 3918

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.000, 0.0975, 0.01527, 0.00830,-0.1081,0.8448,0.4165,-0.8396, 0.0000, 1.3731
 -1.000, 0.2834, 0.01367, 0.00675,-0.1226,0.7985,0.4817,-0.6701, 0.0000, 0.6829
  0.000, 0.4541, 0.01318, 0.00606,-0.1343,0.7235,0.5432,-0.8103, 0.0000, 0.5429
  1.000, 0.5781, 0.01358, 0.00633,-0.1362,0.6463,0.5975,-0.9449, 0.0000, 0.4810
  2.000, 0.6852, 0.01428, 0.00693,-0.1345,0.5762,0.6484,-1.0910, 0.0000, 0.4403
  3.000, 0.7833, 0.01518, 0.00770,-0.1310,0.5110,0.6948,-1.2611, 0.0000, 0.4100
  4.000, 0.8713, 0.01630, 0.00868,-0.1254,0.4479,0.7355,-1.4550, 0.0000, 0.3854
  5.000, 0.9531, 0.01750, 0.00984,-0.1186,0.3904,0.7699,-1.6752, 0.0000, 0.3647
  6.000, 1.0255, 0.01903, 0.01123,-0.1104,0.3349,0.7992,-1.9169, 0.0000, 0.3466
  7.000, 1.1021, 0.02069, 0.01281,-0.1035,0.2825,0.8261,-2.1964, 0.0000, 0.3316
  8.000, 1.1655, 0.02279, 0.01479,-0.0946,0.2346,0.8500,-2.4878, 0.0000, 0.3175
  9.000, 1.2230, 0.02497, 0.01699,-0.0851,0.1952,0.8703,-2.7946, 0.0000, 0.3045
 10.000, 1.2797, 0.02779, 0.01982,-0.0769,0.1606,0.8893,-3.1171, 0.0000, 0.2935
 11.000, 1.3286, 0.03143, 0.02353,-0.0689,0.1337,0.9068,-3.4553, 0.0000, 0.2836
 12.000, 1.3605, 0.03564, 0.02791,-0.0596,0.1137,0.9224,-3.7636, 0.0000, 0.2738
 13.000, 1.3879, 0.04128, 0.03379,-0.0525,0.0990,0.9361,-4.0662, 0.0000, 0.2660
 14.000, 1.4055, 0.04904, 0.04179,-0.0476,0.0869,0.9485,-4.3615, 0.0000, 0.2600
 15.000, 1.4133, 0.05852, 0.05156,-0.0447,0.0778,0.9585,-4.6224, 0.0000, 0.2557


